SMRS / Project ID,Director,STET SPOC,Program Manager,STET Funnel Project Title,AOS Impact  (Enter €0 if not AOS Project),AOS Impact Approved or Not,QN Reduction Impact (Enter €0 if not CONQ Project),"Project Type (PRODUCTIVITY, AOS, LCM, NPI, CART PDC, TEST ENG, CONQ, IGM)","Procurement Type (PROCUREMENT, TCO, N/A)","Savings Type (TCO, CONCEPT, SOURCING, NEGO, NON_12NC, NPP, CONQ, FCP & PPV)",Commodity,BU,Cluster,Current IL,IL5 Date,%23 of Parts Dual Sourced (PASSIVE),%23 of Parts Dual Sourced (ACTIVE),2022 Actual (Euro),2023 Funnel (Euro),2023 Actual (Euro),2024 Funnel (Euro),2024 Actual (Euro),2025 Funnel (Euro),2025 Actual (Euro),2026 Funnel (Euro),2026 Actual (Euro),2027 Funnel (Euro),2027 Actual (Euro),2028 Funnel (Euro),2028 Actual (Euro),Impacted Parts Added? (YES_NO_N/A) Needs to be YES or N/A for all IL5 Projects,Are Any STET SQE Resources Applied to Project? (YES_NO_N/A),Comments / Challenges,Week,Attachments,ID,IL Date Format column,August IL5 IDs,IL Date Correction,Year,Month,Modified,Modified By,Created,2019 Actual (Euro),2020 Actual (Euro),2021 Actual (Euro),2022 Funnel (Euro),Created By,Supplier Transfer,Transfer reason,Is Active
44586,Phil,Radhaprasanna ,Avinash Gosavi ,SMP connector's alternate part implementation in all CEB's,€ 0.00,Not Applicable,€ 0,LCM,PROCUREMENT,CONCEPT,Key Components & Electronics,MR,PD,IL2,11/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12198"">View Entries</a>",31,0,12198,11-2027,True,True,2027,11,7/29/2026 7:00 AM,"Davis, Adrianna",7/29/2026 6:59 AM,,,,,"Davis, Adrianna",No,N/A,Yes
44768,Phil,Avinash Gosavi ,Avinash Gosavi ,Consolidation and reduction of Tie wraps in TABLE assembly,€ 0.00,Not Applicable,€ 0,LCM,PROCUREMENT,CONCEPT,Key Components & Electronics,MR,PD,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12197"">View Entries</a>",31,0,12197,03-2027,True,True,2027,03,7/29/2026 7:00 AM,"Davis, Adrianna",7/29/2026 6:56 AM,,,,,"Davis, Adrianna",No,N/A,Yes
42454,Phil,Fred Cai ,Jason Wu,Label LCC for Flex Suzhou,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,US,PD,IL5,4/30/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12196"">View Entries</a>",31,0,12196,04-2026,True,True,2026,04,7/29/2026 8:41 AM,"Davis, Adrianna",7/29/2026 6:50 AM,,,,,"Davis, Adrianna",Yes,Productivity & De-risk / Localization,Yes
38367,Phil,Fred Cai ,Steven Ji ,L4L-Localize MR stepladder,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,MR,PD,IL5,5/29/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12195"">View Entries</a>",31,0,12195,05-2026,True,True,2026,05,7/29/2026 8:41 AM,"Davis, Adrianna",7/29/2026 6:48 AM,,,,,"Davis, Adrianna",No,N/A,Yes
42176,Phil,Fred Cai ,Sha Sha Shi ,CT5300(Kylin) & Kunpeng remove duplicate CTBOX warning label,€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,N/A,CONCEPT,Mechanical Parts & Assemblies,CT/AMI,PD,IL2,12/31/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,NO,NO,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12194"">View Entries</a>",31,0,12194,12-2026,True,True,2026,12,7/29/2026 6:45 AM,"Davis, Adrianna",7/29/2026 6:44 AM,,,,,"Davis, Adrianna",No,N/A,Yes
CR219874-2,Tim,Saurabh Agarwal,Yaswanth J,"Phase1|Galway Daytona PO|WEU,CEE,Turkey",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,3/2/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12193"">View Entries</a>",31,0,12193,03-2026,True,True,2026,03,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:20 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR244084-1,Tim,Saurabh Agarwal,Dipesh Bhagwat,REG MEM AMB 554-26011 US & Canada Warranty Text Update ,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL3,9/30/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12190"">View Entries</a>",31,0,12190,09-2026,True,True,2026,09,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:19 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR247703,Tim,Saurabh Agarwal,Tamaghna S (Mukti),EU PPWR,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,8/12/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12189"">View Entries</a>",37,0,12189,08-2026,True,True,2026,08,9/7/2026 3:14 AM,"Kumari, Supriya",7/29/2026 6:19 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR241454,Tim,Saurabh Agarwal,Yaswanth J,Phase-out of Huangpu River SKUs,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,8/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12184"">View Entries</a>",37,0,12184,08-2026,True,True,2026,08,9/7/2026 3:14 AM,"Kumari, Supriya",7/29/2026 6:19 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR234284,Tim,Saurabh Agarwal,Yaswanth J,DCS Costco US Phase Out,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL3,12/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12183"">View Entries</a>",32,0,12183,12-2027,True,True,2027,12,8/6/2026 3:00 AM,"Kumari, Supriya",7/29/2026 6:19 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR234429,Tim,Saurabh Agarwal,Yaswanth J,Phase out WH SKUs,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,7/14/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12180"">View Entries</a>",31,0,12180,07-2026,True,True,2026,07,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:18 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR231257,Tim,Saurabh Agarwal,Yaswanth J,Inactivate (in WC) Polymerized PFAS 12NC (including associated parent and children parts) (No SKU's in scope),€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,3/6/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12177"">View Entries</a>",31,0,12177,03-2026,True,True,2026,03,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR219874-1,Tim,Saurabh Agarwal,Yaswanth J,"Phase1|Galway Daytona PO|WEU,CEE,Turkey",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,2/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12176"">View Entries</a>",31,0,12176,02-2026,True,True,2026,02,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR218877,Tim,Saurabh Agarwal,Yaswanth J,BH PO RfS - Nebraska NAR,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,5/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12175"">View Entries</a>",31,0,12175,05-2026,True,True,2026,05,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR209625,Tim,Saurabh Agarwal,Yaswanth J,Costco US Phase out SKUs,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL3,12/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12170"">View Entries</a>",32,0,12170,12-2027,True,True,2027,12,8/6/2026 3:00 AM,"Kumari, Supriya",7/29/2026 6:14 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR244598,Tim,Saurabh Agarwal,Tamaghna S,AMB 554-26016:  Australia-Cyber Security Rules,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL5,7/25/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12169"">View Entries</a>",31,0,12169,07-2026,True,True,2026,07,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:14 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR244084-2,Tim,Saurabh Agarwal,Dipesh Bhagwat,REG MEM AMB 554-26011 US & Canada Warranty Text Update ,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,OHC,PH,IL3,9/30/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12168"">View Entries</a>",31,0,12168,09-2026,True,True,2026,09,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 6:14 AM,,,,,"Kumari, Supriya",No,n/a,Yes
RFS-OHC-0698,Tim,Saurabh Agarwal ,Kamini Patil,Launch Compact Flosser 1000 (Miami) in Navy Blue Color in CEE,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL3,4/1/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12167"">View Entries</a>",31,0,12167,04-2027,True,True,2027,04,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 3:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
RFS-OHC-0696,Tim,Saurabh Agarwal ,Kamini Patil,Launch Compact Flosser 1000 (Miami) in Navy Blue Color in GRC,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL3,4/1/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12166"">View Entries</a>",31,0,12166,04-2027,True,True,2027,04,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 3:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR249473,Tim,Saurabh Agarwal,Yaswanth J,Galway+ US Costco Refresh (Brilliant Clean),€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL3,4/16/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12165"">View Entries</a>",31,0,12165,04-2027,True,True,2027,04,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 3:17 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR239363,Tim,Saurabh Agarwal,Yaswanth J,UV Confident Clean in costco Canada,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL3,9/15/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12160"">View Entries</a>",36,0,12160,09-2026,True,True,2026,09,9/4/2026 4:00 AM,"Kumari, Supriya",7/29/2026 3:16 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR225608 - 1,Tim,Saurabh Agarwal ,Yaswanth J,PID Brand Refresh - Ph1,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL5,8/14/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12157"">View Entries</a>",37,0,12157,08-2026,True,True,2026,08,9/7/2026 3:14 AM,"Kumari, Supriya",7/29/2026 3:14 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR234743,Tim,Saurabh Agarwal,Vandita Katrolia,Galway Plus with Miami Fbox Secondary Packaging Artwork Scope for Canada Holiday Oral Care Bundle,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL5,5/29/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12155"">View Entries</a>",31,0,12155,05-2026,True,True,2026,05,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 3:14 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR242896 - 1,Tim,Saurabh Agarwal ,Tanmay S,Release Topband Cairo EE Assy Automation Line,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL5,7/31/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12150"">View Entries</a>",32,0,12150,07-2026,True,True,2026,07,8/6/2026 2:11 AM,"Kumari, Supriya",7/29/2026 3:13 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR239875-1,Tim,Saurabh Agarwal ,Tamaghna S,SFK Deco Label material qualitification - Ph1 (Deco Label),€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,OHC,PH,IL5,7/22/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12149"">View Entries</a>",31,0,12149,07-2026,True,True,2026,07,7/31/2026 7:56 AM,"Davis, Adrianna",7/29/2026 3:13 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR194690-1,Tim,Saurabh Agrawal,Tanmay S,Honortone Mitigation Plan-Shanghai & Xian - Phase-2,€ 0.00,Not Applicable,€ 0,AOS,N/A,L&A,Personal Health,OHC,PH,IL5,2/27/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12148"">View Entries</a>",31,0,12148,02-2026,True,True,2026,02,7/31/2026 7:56 AM,"Davis, Adrianna",7/28/2026 1:47 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR239875-2,Tim,Saurabh Agrawal,Tamaghna S (Prachi R),SFK Deco Label material qualitification - Ph2 (Bonus Sticker),€ 0.00,Not Applicable,€ 0,AOS,N/A,L&A,Personal Health,OHC,PH,IL5,8/28/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12147"">View Entries</a>",37,0,12147,08-2026,True,True,2026,08,9/7/2026 3:14 AM,"Kumari, Supriya",7/28/2026 1:47 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR143310,Tim,Saurabh Agrawal,Vandita Katrolia,Mast and Boom sourcing ,€ 0.00,Not Applicable,€ 0,AOS,N/A,SOURCING,Personal Health,OHC,PH,IL3,6/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12146"">View Entries</a>",31,0,12146,06-2027,True,True,2027,06,7/31/2026 7:56 AM,"Davis, Adrianna",7/28/2026 1:46 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR242444,Tim,Saurabh Agrawal,Dipesh Bhagwat,Phillips Medisize Second Dual Action tool and Line 2 improvement for Dual Action,€ 0.00,Not Applicable,€ 0,AOS,N/A,L&A,Personal Health,OHC,PH,IL3,1/22/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12145"">View Entries</a>",31,0,12145,01-2027,True,True,2027,01,7/31/2026 7:56 AM,"Davis, Adrianna",7/28/2026 1:46 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR193615-2,Tim,Saurabh Agrawal,Tanmay S,Cairo PCBA FCP Reduction (Non-Connected models),€ 0.00,Not Applicable,€ 0,AOS,N/A,CONCEPT,Personal Health,OHC,PH,IL5,7/24/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12144"">View Entries</a>",32,0,12144,07-2026,True,True,2026,07,8/6/2026 2:27 AM,"Kumari, Supriya",7/28/2026 1:42 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR152151,Tim,Saurabh Agrawal,Kamini Patil,UNIP Dental Syringes DW- NW dual source (RFD-1),€ 0.00,Not Applicable,€ 0,AOS,N/A,SOURCING,Personal Health,OHC,PH,IL3,6/26/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12143"">View Entries</a>",31,0,12143,06-2027,True,True,2027,06,7/31/2026 7:56 AM,"Davis, Adrianna",7/28/2026 1:29 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR244020 -2,Tim,Saurabh Agrawal,Tanmay S,Cairo Handle in Zhuhai Site - Ph2 (1-Button),€ 0.00,Not Applicable,€ 0,AOS,N/A,L&A,Personal Health,OHC,PH,IL3,4/12/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12136"">View Entries</a>",31,0,12136,04-2027,True,True,2027,04,7/31/2026 7:56 AM,"Davis, Adrianna",7/28/2026 1:27 AM,,,,,"Kumari, Supriya",No,n/a,Yes
CR244020 -1,Tim,Saurabh Agrawal,Tanmay S,Cairo Handle in Zhuhai Site - Ph1 (2-Button),€ 0.00,Not Applicable,€ 0,AOS,N/A,L&A,Personal Health,OHC,PH,IL3,12/21/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12133"">View Entries</a>",31,0,12133,12-2026,True,True,2026,12,7/31/2026 7:57 AM,"Davis, Adrianna",7/28/2026 1:27 AM,,,,,"Kumari, Supriya",No,n/a,Yes
